name,zone,zipcode,star,rating,rates,checkin,checkout,room,size,price,bed,guests,address,link
Holiday Inn San Francisco International Airport,San Francisco International Airport (SFO),94080,3,3.5,"1,228",04/21/2017,04/22/2017,"Executive Room, 1 King Bed, Non Smoking",350,119,1 King Bed,2,S Airport Blvd,https://www.expedia.com/San-Francisco-International-Airport-Hotels-Holiday-Inn-San-Francisco-International-Airport.h487.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=d73cbdef-08e9-4a89-b018-c7a2dfca762cHWRQ1492738958808&vip=false&c=00029f81-7701-488b-844d-50e5702b5b20&&exp_dp=109&exp_ts=1492738960120&exp_curr=USD&exp_pg=HSR
Holiday Inn San Francisco International Airport,San Francisco International Airport (SFO),94080,3,3.5,"1,228",04/21/2017,04/22/2017,"Executive Room, 1 King Bed, Non Smoking",350,139,1 King Bed,2,S Airport Blvd,https://www.expedia.com/San-Francisco-International-Airport-Hotels-Holiday-Inn-San-Francisco-International-Airport.h487.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=d73cbdef-08e9-4a89-b018-c7a2dfca762cHWRQ1492738958808&vip=false&c=00029f81-7701-488b-844d-50e5702b5b20&&exp_dp=109&exp_ts=1492738960120&exp_curr=USD&exp_pg=HSR
The Pickwick Hotel,South of Market,94103,3.5,3.6,"2,375",04/21/2017,04/22/2017,Classic Run of House,250,144,2 Double Beds or 1 King Bed,2,5th St,https://www.expedia.com/San-Francisco-Hotels-The-Pickwick-Hotel.h11793.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=d73cbdef-08e9-4a89-b018-c7a2dfca762cHWRQ1492738958808&vip=false&c=00029f81-7701-488b-844d-50e5702b5b20&&exp_dp=144.36&exp_ts=1492738960120&exp_curr=USD&exp_pg=HSR
The Pickwick Hotel,South of Market,94103,3.5,3.6,"2,375",04/21/2017,04/22/2017,"Deluxe Double Room, 2 Double Beds, Non Smoking",250,184,2 Double Beds,4,5th St,https://www.expedia.com/San-Francisco-Hotels-The-Pickwick-Hotel.h11793.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=d73cbdef-08e9-4a89-b018-c7a2dfca762cHWRQ1492738958808&vip=false&c=00029f81-7701-488b-844d-50e5702b5b20&&exp_dp=144.36&exp_ts=1492738960120&exp_curr=USD&exp_pg=HSR
Clift,Union Square,94102,4,4.2,"3,597",04/21/2017,04/22/2017,"Standard Room, 1 King Bed",260,169,1 King Bed,2,Geary St,https://www.expedia.com/San-Francisco-Hotels-Clift.h21073.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=d73cbdef-08e9-4a89-b018-c7a2dfca762cHWRQ1492738958808&vip=false&c=00029f81-7701-488b-844d-50e5702b5b20&&exp_dp=169&exp_ts=1492738960123&exp_curr=USD&exp_pg=HSR
Clift,Union Square,94102,4,4.2,"3,597",04/21/2017,04/22/2017,"Standard Room, 1 King Bed",260,169,1 King Bed,2,Geary St,https://www.expedia.com/San-Francisco-Hotels-Clift.h21073.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=d73cbdef-08e9-4a89-b018-c7a2dfca762cHWRQ1492738958808&vip=false&c=00029f81-7701-488b-844d-50e5702b5b20&&exp_dp=169&exp_ts=1492738960123&exp_curr=USD&exp_pg=HSR
Clift,Union Square,94102,4,4.2,"3,597",04/21/2017,04/22/2017,"Double Room, 2 Double Beds",315,199,2 Double Beds,4,Geary St,https://www.expedia.com/San-Francisco-Hotels-Clift.h21073.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=d73cbdef-08e9-4a89-b018-c7a2dfca762cHWRQ1492738958808&vip=false&c=00029f81-7701-488b-844d-50e5702b5b20&&exp_dp=169&exp_ts=1492738960123&exp_curr=USD&exp_pg=HSR
Clift,Union Square,94102,4,4.2,"3,597",04/21/2017,04/22/2017,Studio,475,209,1 King Bed or 1 Queen Bed,3,Geary St,https://www.expedia.com/San-Francisco-Hotels-Clift.h21073.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=d73cbdef-08e9-4a89-b018-c7a2dfca762cHWRQ1492738958808&vip=false&c=00029f81-7701-488b-844d-50e5702b5b20&&exp_dp=169&exp_ts=1492738960123&exp_curr=USD&exp_pg=HSR
Clift,Union Square,94102,4,4.2,"3,597",04/21/2017,04/22/2017,Studio,475,209,1 King Bed or 1 Queen Bed,3,Geary St,https://www.expedia.com/San-Francisco-Hotels-Clift.h21073.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=d73cbdef-08e9-4a89-b018-c7a2dfca762cHWRQ1492738958808&vip=false&c=00029f81-7701-488b-844d-50e5702b5b20&&exp_dp=169&exp_ts=1492738960123&exp_curr=USD&exp_pg=HSR
Calista Organic Hotel,Civic Center,94109,3,3.6,364,04/21/2017,04/22/2017,"Signature Room, 1 Queen Bed, Kitchenette",300,159,1 Queen Bed,2,Bush Street,https://www.expedia.com/San-Francisco-Hotels-Calista-Organic-Hotel.h12671293.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=d73cbdef-08e9-4a89-b018-c7a2dfca762cHWRQ1492738958808&vip=false&c=00029f81-7701-488b-844d-50e5702b5b20&&exp_dp=159.36&exp_ts=1492738960126&exp_curr=USD&exp_pg=HSR
