name,zone,star,rating,rates,room,size,price,bed,guests,address,link
Omni Los Angeles Hotel at California Plaza,Downtown Los Angeles,4.5,4.5,"3,268","Club Room, 1 King Bed",410,438,1 king bed,3,S Olive St,https://www.expedia.com/Los-Angeles-Hotels-Omni-Los-Angeles-Hotel-At-California-Plaza.h18595.Hotel-Information?chkin=4%2F20%2F2017&chkout=4%2F21%2F2017&rm1=a2&regionId=0&hwrqCacheKey=c53cba2e-b324-477b-a3c9-4c3c4998c07bHWRQ1492654040515&vip=false&c=610512c7-066a-4d39-b313-1f37509f9ca0&&exp_dp=269&exp_ts=1492654042279&exp_curr=USD&exp_pg=HSR
Pacific Palms Resort,City Of Industry,4.0,4.1,"1,328",Deluxe Room,400,235,1 king bed or 2 double beds,4,Industry Hills Pkwy,https://www.expedia.com/City-Of-Industry-Hotels-Pacific-Palms-Resort.h26316.Hotel-Information?chkin=4%2F20%2F2017&chkout=4%2F21%2F2017&rm1=a2&regionId=0&hwrqCacheKey=c53cba2e-b324-477b-a3c9-4c3c4998c07bHWRQ1492654040515&vip=false&c=610512c7-066a-4d39-b313-1f37509f9ca0&&exp_dp=235.34&exp_ts=1492654042281&exp_curr=USD&exp_pg=HSR
Airtel Plaza Hotel,San Fernando,3.0,3.8,"1,653","Traditional Room, 2 Queen Beds",365,149,2 queen beds,4,Valjean Ave,https://www.expedia.com/San-Fernando-Hotels-Airtel-Plaza-Hotel.h23116.Hotel-Information?chkin=4%2F20%2F2017&chkout=4%2F21%2F2017&rm1=a2&regionId=0&hwrqCacheKey=c53cba2e-b324-477b-a3c9-4c3c4998c07bHWRQ1492654040515&vip=false&c=610512c7-066a-4d39-b313-1f37509f9ca0&&exp_dp=149.01&exp_ts=1492654042281&exp_curr=USD&exp_pg=HSR
Airtel Plaza Hotel,San Fernando,3.0,3.8,"1,653","Traditional Room, 1 King Bed",365,149,1 king bed,2,Valjean Ave,https://www.expedia.com/San-Fernando-Hotels-Airtel-Plaza-Hotel.h23116.Hotel-Information?chkin=4%2F20%2F2017&chkout=4%2F21%2F2017&rm1=a2&regionId=0&hwrqCacheKey=c53cba2e-b324-477b-a3c9-4c3c4998c07bHWRQ1492654040515&vip=false&c=610512c7-066a-4d39-b313-1f37509f9ca0&&exp_dp=149.01&exp_ts=1492654042281&exp_curr=USD&exp_pg=HSR
Airtel Plaza Hotel,San Fernando,3.0,3.8,"1,653","Room, 2 Queen Beds (Preferred)",365,169,2 queen beds,4,Valjean Ave,https://www.expedia.com/San-Fernando-Hotels-Airtel-Plaza-Hotel.h23116.Hotel-Information?chkin=4%2F20%2F2017&chkout=4%2F21%2F2017&rm1=a2&regionId=0&hwrqCacheKey=c53cba2e-b324-477b-a3c9-4c3c4998c07bHWRQ1492654040515&vip=false&c=610512c7-066a-4d39-b313-1f37509f9ca0&&exp_dp=149.01&exp_ts=1492654042281&exp_curr=USD&exp_pg=HSR
Airtel Plaza Hotel,San Fernando,3.0,3.8,"1,653","Traditional Suite, 1 Bedroom",532,219,1 king bed,2,Valjean Ave,https://www.expedia.com/San-Fernando-Hotels-Airtel-Plaza-Hotel.h23116.Hotel-Information?chkin=4%2F20%2F2017&chkout=4%2F21%2F2017&rm1=a2&regionId=0&hwrqCacheKey=c53cba2e-b324-477b-a3c9-4c3c4998c07bHWRQ1492654040515&vip=false&c=610512c7-066a-4d39-b313-1f37509f9ca0&&exp_dp=149.01&exp_ts=1492654042281&exp_curr=USD&exp_pg=HSR
Airtel Plaza Hotel,San Fernando,3.0,3.8,"1,653","Room, Terrace (Outdoor Spa)",365,239,1 king bed,2,Valjean Ave,https://www.expedia.com/San-Fernando-Hotels-Airtel-Plaza-Hotel.h23116.Hotel-Information?chkin=4%2F20%2F2017&chkout=4%2F21%2F2017&rm1=a2&regionId=0&hwrqCacheKey=c53cba2e-b324-477b-a3c9-4c3c4998c07bHWRQ1492654040515&vip=false&c=610512c7-066a-4d39-b313-1f37509f9ca0&&exp_dp=149.01&exp_ts=1492654042281&exp_curr=USD&exp_pg=HSR
Best Western Plus Dragon Gate Inn,Downtown Los Angeles,3.0,3.7,635,"Standard Room, 1 King Bed, Non Smoking, Refrigerator",350,129,1 king bed,2,N Hill Street,https://www.expedia.com/Los-Angeles-Hotels-Best-Western-Plus-Dragon-Gate-Inn.h21241.Hotel-Information?chkin=4%2F20%2F2017&chkout=4%2F21%2F2017&rm1=a2&regionId=0&hwrqCacheKey=c53cba2e-b324-477b-a3c9-4c3c4998c07bHWRQ1492654040515&vip=false&c=610512c7-066a-4d39-b313-1f37509f9ca0&&exp_dp=129&exp_ts=1492654042281&exp_curr=USD&exp_pg=HSR
Best Western Plus Dragon Gate Inn,Downtown Los Angeles,3.0,3.7,635,"Standard Room, 2 Double Beds, Non Smoking, Refrigerator",350,139,2 double beds,4,N Hill Street,https://www.expedia.com/Los-Angeles-Hotels-Best-Western-Plus-Dragon-Gate-Inn.h21241.Hotel-Information?chkin=4%2F20%2F2017&chkout=4%2F21%2F2017&rm1=a2&regionId=0&hwrqCacheKey=c53cba2e-b324-477b-a3c9-4c3c4998c07bHWRQ1492654040515&vip=false&c=610512c7-066a-4d39-b313-1f37509f9ca0&&exp_dp=129&exp_ts=1492654042281&exp_curr=USD&exp_pg=HSR
Best Western Plus Dragon Gate Inn,Downtown Los Angeles,3.0,3.7,635,"Standard Room, 2 Queen Beds, Accessible, Non Smoking",355,139,2 queen beds,4,N Hill Street,https://www.expedia.com/Los-Angeles-Hotels-Best-Western-Plus-Dragon-Gate-Inn.h21241.Hotel-Information?chkin=4%2F20%2F2017&chkout=4%2F21%2F2017&rm1=a2&regionId=0&hwrqCacheKey=c53cba2e-b324-477b-a3c9-4c3c4998c07bHWRQ1492654040515&vip=false&c=610512c7-066a-4d39-b313-1f37509f9ca0&&exp_dp=129&exp_ts=1492654042281&exp_curr=USD&exp_pg=HSR
Best Western Plus Dragon Gate Inn,Downtown Los Angeles,3.0,3.7,635,"Suite, 1 King Bed, Accessible, Non Smoking",452,229,1 king bed,2,N Hill Street,https://www.expedia.com/Los-Angeles-Hotels-Best-Western-Plus-Dragon-Gate-Inn.h21241.Hotel-Information?chkin=4%2F20%2F2017&chkout=4%2F21%2F2017&rm1=a2&regionId=0&hwrqCacheKey=c53cba2e-b324-477b-a3c9-4c3c4998c07bHWRQ1492654040515&vip=false&c=610512c7-066a-4d39-b313-1f37509f9ca0&&exp_dp=129&exp_ts=1492654042281&exp_curr=USD&exp_pg=HSR
Extended Stay America Los Angeles - Northridge,San Fernando,2.5,3.1,456,"Studio, 1 Queen Bed, Non Smoking",300,135,1 queen bed,2,Londelius St,https://www.expedia.com/San-Fernando-Hotels-Extended-Stay-America-Los-Angeles-Northridge.h1261951.Hotel-Information?chkin=4%2F20%2F2017&chkout=4%2F21%2F2017&rm1=a2&regionId=0&hwrqCacheKey=c53cba2e-b324-477b-a3c9-4c3c4998c07bHWRQ1492654040515&vip=false&c=610512c7-066a-4d39-b313-1f37509f9ca0&&exp_dp=134.99&exp_ts=1492654042281&exp_curr=USD&exp_pg=HSR
Extended Stay America Los Angeles - Northridge,San Fernando,2.5,3.1,456,"Studio, 1 Queen Bed, Smoking",300,135,1 queen bed,2,Londelius St,https://www.expedia.com/San-Fernando-Hotels-Extended-Stay-America-Los-Angeles-Northridge.h1261951.Hotel-Information?chkin=4%2F20%2F2017&chkout=4%2F21%2F2017&rm1=a2&regionId=0&hwrqCacheKey=c53cba2e-b324-477b-a3c9-4c3c4998c07bHWRQ1492654040515&vip=false&c=610512c7-066a-4d39-b313-1f37509f9ca0&&exp_dp=134.99&exp_ts=1492654042281&exp_curr=USD&exp_pg=HSR
Extended Stay America Los Angeles - Northridge,San Fernando,2.5,3.1,456,"Studio, 1 King Bed, Smoking",300,145,1 king bed,2,Londelius St,https://www.expedia.com/San-Fernando-Hotels-Extended-Stay-America-Los-Angeles-Northridge.h1261951.Hotel-Information?chkin=4%2F20%2F2017&chkout=4%2F21%2F2017&rm1=a2&regionId=0&hwrqCacheKey=c53cba2e-b324-477b-a3c9-4c3c4998c07bHWRQ1492654040515&vip=false&c=610512c7-066a-4d39-b313-1f37509f9ca0&&exp_dp=134.99&exp_ts=1492654042281&exp_curr=USD&exp_pg=HSR
Extended Stay America Los Angeles - Northridge,San Fernando,2.5,3.1,456,"Studio, 2 Full Beds, Smoking",300,155,2 full beds,4,Londelius St,https://www.expedia.com/San-Fernando-Hotels-Extended-Stay-America-Los-Angeles-Northridge.h1261951.Hotel-Information?chkin=4%2F20%2F2017&chkout=4%2F21%2F2017&rm1=a2&regionId=0&hwrqCacheKey=c53cba2e-b324-477b-a3c9-4c3c4998c07bHWRQ1492654040515&vip=false&c=610512c7-066a-4d39-b313-1f37509f9ca0&&exp_dp=134.99&exp_ts=1492654042281&exp_curr=USD&exp_pg=HSR
Extended Stay America Los Angeles - Northridge,San Fernando,2.5,3.1,456,"Studio, 2 Full Beds, Non Smoking",300,155,2 full beds,4,Londelius St,https://www.expedia.com/San-Fernando-Hotels-Extended-Stay-America-Los-Angeles-Northridge.h1261951.Hotel-Information?chkin=4%2F20%2F2017&chkout=4%2F21%2F2017&rm1=a2&regionId=0&hwrqCacheKey=c53cba2e-b324-477b-a3c9-4c3c4998c07bHWRQ1492654040515&vip=false&c=610512c7-066a-4d39-b313-1f37509f9ca0&&exp_dp=134.99&exp_ts=1492654042281&exp_curr=USD&exp_pg=HSR
