name,zone,star,rating,rates,checkin,checkout,room,size,price,bed,guests,address,link
Extended Stay America Los Angeles - Northridge,San Fernando,2.5,3.1,456,04/21/2017,04/22/2017,"Studio, 1 Queen Bed, Smoking",300,120,1 queen bed,2,Londelius St,https://www.expedia.com/San-Fernando-Hotels-Extended-Stay-America-Los-Angeles-Northridge.h1261951.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705193415&vip=false&c=a1da66d1-a891-4911-ab7b-cbe891788957&&exp_dp=119.99&exp_ts=1492705194490&exp_curr=USD&exp_pg=HSR
Extended Stay America Los Angeles - Northridge,San Fernando,2.5,3.1,456,04/21/2017,04/22/2017,"Studio, 1 King Bed, Smoking",300,130,1 king bed,2,Londelius St,https://www.expedia.com/San-Fernando-Hotels-Extended-Stay-America-Los-Angeles-Northridge.h1261951.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705193415&vip=false&c=a1da66d1-a891-4911-ab7b-cbe891788957&&exp_dp=119.99&exp_ts=1492705194490&exp_curr=USD&exp_pg=HSR
Extended Stay America Los Angeles - Northridge,San Fernando,2.5,3.1,456,04/21/2017,04/22/2017,"Studio, 2 Full Beds, Non Smoking",300,140,2 full beds,4,Londelius St,https://www.expedia.com/San-Fernando-Hotels-Extended-Stay-America-Los-Angeles-Northridge.h1261951.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705193415&vip=false&c=a1da66d1-a891-4911-ab7b-cbe891788957&&exp_dp=119.99&exp_ts=1492705194490&exp_curr=USD&exp_pg=HSR
Airtel Plaza Hotel,San Fernando,3.0,3.8,"1,653",04/21/2017,04/22/2017,"Traditional Room, 2 Queen Beds",365,169,2 queen beds,4,Valjean Ave,https://www.expedia.com/San-Fernando-Hotels-Airtel-Plaza-Hotel.h23116.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705193415&vip=false&c=a1da66d1-a891-4911-ab7b-cbe891788957&&exp_dp=168.99&exp_ts=1492705194491&exp_curr=USD&exp_pg=HSR
Airtel Plaza Hotel,San Fernando,3.0,3.8,"1,653",04/21/2017,04/22/2017,"Traditional Room, 1 King Bed",365,169,1 king bed,2,Valjean Ave,https://www.expedia.com/San-Fernando-Hotels-Airtel-Plaza-Hotel.h23116.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705193415&vip=false&c=a1da66d1-a891-4911-ab7b-cbe891788957&&exp_dp=168.99&exp_ts=1492705194491&exp_curr=USD&exp_pg=HSR
Airtel Plaza Hotel,San Fernando,3.0,3.8,"1,653",04/21/2017,04/22/2017,"Room, 2 Queen Beds (Preferred)",365,189,2 queen beds,4,Valjean Ave,https://www.expedia.com/San-Fernando-Hotels-Airtel-Plaza-Hotel.h23116.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705193415&vip=false&c=a1da66d1-a891-4911-ab7b-cbe891788957&&exp_dp=168.99&exp_ts=1492705194491&exp_curr=USD&exp_pg=HSR
Airtel Plaza Hotel,San Fernando,3.0,3.8,"1,653",04/21/2017,04/22/2017,"Traditional Suite, 1 Bedroom",532,239,1 king bed,2,Valjean Ave,https://www.expedia.com/San-Fernando-Hotels-Airtel-Plaza-Hotel.h23116.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705193415&vip=false&c=a1da66d1-a891-4911-ab7b-cbe891788957&&exp_dp=168.99&exp_ts=1492705194491&exp_curr=USD&exp_pg=HSR
Airtel Plaza Hotel,San Fernando,3.0,3.8,"1,653",04/21/2017,04/22/2017,"Room, Terrace (Outdoor Spa)",365,259,1 king bed,2,Valjean Ave,https://www.expedia.com/San-Fernando-Hotels-Airtel-Plaza-Hotel.h23116.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705193415&vip=false&c=a1da66d1-a891-4911-ab7b-cbe891788957&&exp_dp=168.99&exp_ts=1492705194491&exp_curr=USD&exp_pg=HSR
The LA Hotel Downtown,Downtown Los Angeles,3.5,4.1,901,04/21/2017,04/22/2017,"Room, 1 King Bed, Accessible",390,209,1 king bed,3,S Figueroa St,https://www.expedia.com/Los-Angeles-Hotels-The-LA-Hotel-Downtown.h11172.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705193415&vip=false&c=a1da66d1-a891-4911-ab7b-cbe891788957&&exp_dp=209.37&exp_ts=1492705194492&exp_curr=USD&exp_pg=HSR
The LA Hotel Downtown,Downtown Los Angeles,3.5,4.1,901,04/21/2017,04/22/2017,"Room, 1 King Bed, Accessible",390,279,1 king bed,3,S Figueroa St,https://www.expedia.com/Los-Angeles-Hotels-The-LA-Hotel-Downtown.h11172.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705193415&vip=false&c=a1da66d1-a891-4911-ab7b-cbe891788957&&exp_dp=209.37&exp_ts=1492705194492&exp_curr=USD&exp_pg=HSR
