name,zone,zipcode,star,rating,rates,checkin,checkout,room,size,price,bed,guests,address,link
Hotel Amarano Burbank,Universal Studios,91505,4,4.3,"1,264",04/21/2017,04/22/2017,Executive King,400,199,1 King Bed,2,N Pass Ave,https://www.expedia.com/Universal-Studios-Hotels-Hotel-Amarano-Burbank.h861709.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7fa5c8f5-2a0d-409a-a5dd-793664700e26HWRQ1492738949587&vip=false&c=ba176105-5c89-4d01-a940-d83eede54ba4&&exp_dp=169&exp_ts=1492738951631&exp_curr=USD&exp_pg=HSR
Hotel Amarano Burbank,Universal Studios,91505,4,4.3,"1,264",04/21/2017,04/22/2017,Pool View,400,219,1 King Bed,4,N Pass Ave,https://www.expedia.com/Universal-Studios-Hotels-Hotel-Amarano-Burbank.h861709.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7fa5c8f5-2a0d-409a-a5dd-793664700e26HWRQ1492738949587&vip=false&c=ba176105-5c89-4d01-a940-d83eede54ba4&&exp_dp=169&exp_ts=1492738951631&exp_curr=USD&exp_pg=HSR
Hotel Amarano Burbank,Universal Studios,91505,4,4.3,"1,264",04/21/2017,04/22/2017,"Standard Room, Balcony",398,239,1 Twin Bed,4,N Pass Ave,https://www.expedia.com/Universal-Studios-Hotels-Hotel-Amarano-Burbank.h861709.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7fa5c8f5-2a0d-409a-a5dd-793664700e26HWRQ1492738949587&vip=false&c=ba176105-5c89-4d01-a940-d83eede54ba4&&exp_dp=169&exp_ts=1492738951631&exp_curr=USD&exp_pg=HSR
Hotel Amarano Burbank,Universal Studios,91505,4,4.3,"1,264",04/21/2017,04/22/2017,Premier Jr. Suite,475,239,1 King Bed,4,N Pass Ave,https://www.expedia.com/Universal-Studios-Hotels-Hotel-Amarano-Burbank.h861709.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7fa5c8f5-2a0d-409a-a5dd-793664700e26HWRQ1492738949587&vip=false&c=ba176105-5c89-4d01-a940-d83eede54ba4&&exp_dp=169&exp_ts=1492738951631&exp_curr=USD&exp_pg=HSR
Hotel Amarano Burbank,Universal Studios,91505,4,4.3,"1,264",04/21/2017,04/22/2017,Superior One bedroom Suite,640,269,1 King Bed,4,N Pass Ave,https://www.expedia.com/Universal-Studios-Hotels-Hotel-Amarano-Burbank.h861709.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7fa5c8f5-2a0d-409a-a5dd-793664700e26HWRQ1492738949587&vip=false&c=ba176105-5c89-4d01-a940-d83eede54ba4&&exp_dp=169&exp_ts=1492738951631&exp_curr=USD&exp_pg=HSR
Hotel Amarano Burbank,Universal Studios,91505,4,4.3,"1,264",04/21/2017,04/22/2017,"Suite, 1 King Bed",893,869,1 King Bed,4,N Pass Ave,https://www.expedia.com/Universal-Studios-Hotels-Hotel-Amarano-Burbank.h861709.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7fa5c8f5-2a0d-409a-a5dd-793664700e26HWRQ1492738949587&vip=false&c=ba176105-5c89-4d01-a940-d83eede54ba4&&exp_dp=169&exp_ts=1492738951631&exp_curr=USD&exp_pg=HSR
Four Seasons Hotel Los Angeles at Westlake Village,Westlake Village,91362,5,4.8,478,04/21/2017,04/22/2017,Deluxe Room With King Bed,450,265,1 King Bed,3,Dole Dr,https://www.expedia.com/Westlake-Village-Hotels-Four-Seasons-Hotel-Los-Angeles-At-Westlake-Village.h1551334.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7fa5c8f5-2a0d-409a-a5dd-793664700e26HWRQ1492738949587&vip=false&c=ba176105-5c89-4d01-a940-d83eede54ba4&&exp_dp=264.78&exp_ts=1492738951632&exp_curr=USD&exp_pg=HSR
Four Seasons Hotel Los Angeles at Westlake Village,Westlake Village,91362,5,4.8,478,04/21/2017,04/22/2017,Deluxe Room With King Bed,450,271,1 King Bed,3,Dole Dr,https://www.expedia.com/Westlake-Village-Hotels-Four-Seasons-Hotel-Los-Angeles-At-Westlake-Village.h1551334.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7fa5c8f5-2a0d-409a-a5dd-793664700e26HWRQ1492738949587&vip=false&c=ba176105-5c89-4d01-a940-d83eede54ba4&&exp_dp=264.78&exp_ts=1492738951632&exp_curr=USD&exp_pg=HSR
Four Seasons Hotel Los Angeles at Westlake Village,Westlake Village,91362,5,4.8,478,04/21/2017,04/22/2017,"Deluxe Room, 2 Double Beds",450,281,2 Double Beds,3,Dole Dr,https://www.expedia.com/Westlake-Village-Hotels-Four-Seasons-Hotel-Los-Angeles-At-Westlake-Village.h1551334.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7fa5c8f5-2a0d-409a-a5dd-793664700e26HWRQ1492738949587&vip=false&c=ba176105-5c89-4d01-a940-d83eede54ba4&&exp_dp=264.78&exp_ts=1492738951632&exp_curr=USD&exp_pg=HSR
Four Seasons Hotel Los Angeles at Westlake Village,Westlake Village,91362,5,4.8,478,04/21/2017,04/22/2017,"Deluxe Room, 2 Double Beds",450,288,2 Double Beds,3,Dole Dr,https://www.expedia.com/Westlake-Village-Hotels-Four-Seasons-Hotel-Los-Angeles-At-Westlake-Village.h1551334.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7fa5c8f5-2a0d-409a-a5dd-793664700e26HWRQ1492738949587&vip=false&c=ba176105-5c89-4d01-a940-d83eede54ba4&&exp_dp=264.78&exp_ts=1492738951632&exp_curr=USD&exp_pg=HSR
